timestamp X Y Z 
1692 208 272 -1024
1704 192 272 -1024
1716 192 288 -1024
1728 192 288 -1024
1740 208 256 -1024
1746 208 272 -1024
1758 208 272 -1024
1770 192 272 -1008
1782 192 272 -1008
1794 192 272 -1008
1806 192 272 -1008
1818 192 272 -1008
1830 208 256 -1008
1842 208 272 -1008
1854 192 272 -1008
1866 208 240 -992
1878 208 224 -992
1890 208 224 -992
1902 240 272 -1008
1914 240 288 -1024
1926 224 288 -1024
1938 224 256 -1008
1950 224 256 -1008
1962 240 240 -1008
1974 240 208 -1024
1986 240 208 -1040
1998 288 192 -1040
2010 288 192 -1040
2022 304 192 -1040
2034 224 240 -1056
2046 224 336 -1136
2058 176 336 -1136
2070 192 256 -1104
2082 192 176 -1120
2094 320 176 -1120
2106 304 208 -1152
2118 304 208 -1152
2130 256 256 -1200
2142 272 368 -1360
2154 272 368 -1360
2160 304 464 -1728
2178 304 272 -2048
2190 544 272 -2048
2202 848 144 -2048
2214 848 480 -2048
2226 960 480 -2048
2238 1088 928 -2048
2250 1088 1104 -2048
2262 1216 1104 -2048
2274 1280 688 -2048
2286 1280 688 -2048
2298 1104 432 -2048
2310 640 624 -2048
2322 640 624 -2048
2334 608 544 -2048
2346 608 544 -2048
2358 592 80 -2048
2364 2048 -624 1360
2376 2048 -624 2032
2388 -816 144 2032
2400 -208 368 -208
2412 -208 368 -224
2424 -128 304 -224
2442 -208 336 -304
2454 -208 336 -304
2466 -288 336 -320
2478 -240 352 -64
2490 -240 352 192
2502 -96 288 192
2508 -32 192 224
2520 -32 192 224
2532 0 112 224
2544 0 112 288
2556 48 48 288
2568 48 0 256
2580 48 0 256
2592 32 -16 80
2604 48 -32 -64
2616 48 -32 -64
2628 64 -80 -112
2640 64 -96 -80
2652 80 -96 -80
2664 112 -112 -32
2676 112 -112 -32
2688 128 -128 0
2700 128 -144 0
2712 128 -112 0
2724 128 -112 0
2736 112 -80 0
2748 112 -80 0
2760 80 -32 -32
2772 80 16 -32
2784 48 16 -32
2796 32 16 48
2808 32 16 0
2820 -16 64 0
2826 -32 64 48
2838 -32 64 64
2850 -48 64 64
2862 -48 64 32
2874 -48 48 32
2886 -48 32 32
2898 -48 32 32
2910 -32 32 0
2922 -16 16 -16
2934 -16 16 -16
2946 0 0 -32
2958 0 0 -48
2970 0 0 -48
2982 0 -16 -48
2994 16 -16 -48
3006 32 -16 -48
3018 32 -16 -64
3030 32 -16 -64
3042 32 0 -64
3054 16 0 -48
3066 16 0 -48
3078 16 16 -48
3090 16 32 -16
3102 0 32 -16
3114 -16 48 48
3126 -16 48 64
3138 -32 64 64
3144 -32 64 48
3156 -48 80 48
3168 -48 64 80
3180 -48 64 128
3192 -48 64 128
3204 -48 64 160
3222 -64 64 192
3234 -48 48 192
3240 -48 48 224
3252 -48 48 224
3264 -48 48 224
3276 -48 32 224
3288 -48 32 224
3300 -48 32 208
3312 -32 64 144
3324 -32 64 144
3336 -32 96 16
3348 -32 96 16
3360 16 112 0
3372 48 144 128
3384 48 144 128
3396 -2032 912 -2048
3408 -2032 464 2032
3420 -32 464 2032
3432 352 -176 272
3444 352 -176 2032
3456 1200 -768 2032
3468 896 -960 2032
3480 896 -848 2032
3492 1184 -848 2032
3504 768 -720 2032
3516 768 -720 2032
3528 576 -224 1536
3540 336 80 1312
3552 336 80 1312
3564 96 96 1152
3576 96 96 1168
3588 -48 -32 1168
3600 112 -288 880
3612 112 -288 1088
3624 80 -224 1088
3630 144 -224 1136
3642 144 -224 1184
3654 192 -128 1184
3666 192 -128 1072
3678 176 -48 1072
3690 128 -112 1008
3702 128 -112 864
3714 -32 -240 864
3732 80 -208 1168
3744 80 -208 1200
3756 128 -64 1200
3762 80 -64 1088
3774 80 -64 944
3786 0 -112 944
3798 -96 -128 864
3810 -96 -128 864
3822 -96 -224 912
3834 -96 -224 1008
3846 -128 -192 1008
3858 -128 -208 976
3870 -64 -208 976
3882 -64 -208 928
3894 -32 -224 864
3906 -32 -224 864
3918 -32 -208 928
3930 -32 -192 960
3942 0 -192 960
3954 -16 -144 928
3966 -16 -112 944
3978 0 -112 944
3990 0 -128 944
4002 0 -144 976
4014 16 -144 976
4026 0 -144 1008
4038 0 -144 1008
4050 16 -144 1008
4062 16 -128 992
4074 16 -128 992
4086 16 -144 976
4098 16 -144 976
4110 16 -144 976
4122 32 -144 976
4134 32 -144 1008
4146 48 -144 1008
4152 48 -128 1024
4164 48 -128 1024
4176 32 -112 1040
4188 32 -112 1024
4200 16 -144 1024
4212 16 -128 992
4230 16 -112 1008
4242 0 -112 1008
4254 0 -128 1008
4266 0 -128 1008
4278 -16 -144 1008
4284 0 -160 1024
4296 0 -160 1024
4308 0 -160 1024
4320 0 -160 992
4332 -16 -160 992
4344 0 -112 1024
4356 0 -112 1008
4368 16 -96 1008
4380 16 0 960
4392 -48 0 960
4404 32 -96 1248
4416 32 -112 1024
4428 0 -112 1024
4440 48 -240 1072
4452 48 -240 1072
4464 -208 192 640
4476 -48 -32 1312
4488 -48 -32 896
4500 -64 -48 896
4512 -64 176 1776
4524 224 176 1776
4536 48 192 880
4548 48 0 1504
4560 0 0 1504
4572 -96 112 1440
4584 -96 -16 1168
4596 -32 -16 1168
4608 0 192 1200
4620 0 192 1168
4632 -160 -48 1168
4644 -112 144 1104
4656 -112 144 1104
4662 -208 384 928
4674 -208 384 944
4686 -96 288 944
4698 128 -224 1408
4710 128 -224 1024
4728 -240 560 1024
4740 -160 464 976
4752 -160 464 976
4764 -160 512 768
4776 -224 656 528
4788 -224 656 464
4800 -272 768 464
4806 -272 768 496
4824 -272 768 496
4830 -256 816 576
4842 -256 816 720
4854 -288 816 720
4866 -336 720 624
4878 -336 720 -64
4890 -560 784 -64
4902 -560 1568 2032
4914 -176 1568 2032
4926 -176 1152 1648
4938 32 848 800
4950 144 848 800
4962 32 832 128
4974 32 832 560
4986 272 512 560
4998 320 560 544
5010 320 560 -96
5022 624 352 -96
5034 144 656 -2048
5046 144 656 -256
5058 368 896 -256
5070 368 1008 -528
5082 96 1008 -528
5094 304 1216 -1424
5106 304 752 -512
5118 528 752 -512
5130 256 288 -496
5142 256 288 -496
5154 -992 560 -2048
5166 624 2048 -16
5178 624 2048 -16
5190 1264 1280 -288
5202 1264 1280 -80
5214 416 704 -80
5226 -112 880 -656
5238 176 848 304
5250 176 848 304
5262 160 1088 48
5274 160 1552 -1184
5286 -480 1552 -1184
5298 176 976 -432
5310 176 976 -336
5322 496 976 -336
5334 368 928 -192
5346 368 928 -192
5358 368 880 -288
5370 368 880 -528
5382 496 992 -528
5388 464 368 64
5400 464 368 -576
5412 224 1312 -576
5424 528 912 -352
5436 528 912 -160
5448 336 1088 -160
5460 240 1024 -688
5478 240 1024 -688
5490 384 832 -448
5502 352 848 -480
5514 352 848 -480
5520 384 848 -496
5538 384 848 -480
5550 368 816 -480
5556 336 800 -448
5568 336 800 -384
5580 448 960 -384
5592 400 848 -464
5604 400 848 -848
5616 256 848 -848
5628 256 848 -848
5640 400 864 -544
5652 400 816 -576
5664 288 816 -576
5676 368 832 -528
5688 384 832 -576
5700 384 832 -576
5712 464 688 -752
5724 448 720 -384
5736 448 720 -704
5748 416 864 -704
5760 416 864 -944
5772 256 784 -944
5784 256 784 -976
5796 528 704 -752
